time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,25,10,0,0
2026-04-28 00:00:00+00:00,25,7,0,0
2026-04-29 00:00:00+00:00,22,8,1,1
2026-04-30 00:00:00+00:00,22,7,0,0
2026-05-01 00:00:00+00:00,30,9,0,0
2026-05-02 00:00:00+00:00,23,6,0,0
2026-05-03 00:00:00+00:00,34,11,0,0
2026-05-04 00:00:00+00:00,23,8,1,1
2026-05-05 00:00:00+00:00,27,7,0,0
2026-05-06 00:00:00+00:00,26,8,0,0
2026-05-07 00:00:00+00:00,19,6,0,0
2026-05-08 00:00:00+00:00,16,6,0,0
2026-05-09 00:00:00+00:00,17,8,1,1
2026-05-10 00:00:00+00:00,10,5,0,0
